年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
2023,陕西省,渭南市,610000,610500,西部,东南侧,21040000,4378424,7328232,9333344,20.81,34.83,44.36,45621,,,,,,,,,460,,52.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,15,3.28,1155912,8.1,,,,,,,,,,,,,,,,,,,,,,261000,,,28169000,,,,19741000,-11.2,,,,7652977,2418631,9912768,,,,,67662,185923,1069047,,5644109,26759,871189,20074083,39032942,,,,,,,,,,56040,,33,,15,8,131956,33906,,,,,,,1551,156,293,281700,,,2580,,23,,,184,28404,12680,,,,,,8694,1524,,,,,,18513,,149900,386400,,527,,2065700,1158700,380500,,20602,598,,,,2853,,,,,,5458,97704,908,61,,100,,,97,49,67.4,,617434,484000,294958,125,112,14479,14393,
1990,陕西省,延安市,610000,610600,西部,东南侧,181300,9900,16400,13200,5.461,9.046,7.281,1335,,,,29.6,,,,35.8,,,,,,,6.92,2.32,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25628,,3556,33.333,,85,,,,,,72.1,2.11,,35600,73900,,,314,7519,,,,,,,,,,31816,10925,,,,,,,,,,,9769,,,53861,,,,,,,,,1664,1661,38314,,,,,,3,32,527,,505,1077,2031,,2883,1.1,3.6,,,,,,3404,,,,,,,,,,1,5,150,,,,419,,,689,2778,,2778,,2423,,,246,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40617,,,,,,,,
1991,陕西省,延安市,610000,610600,西部,东南侧,200800,9100,19900,14800,4.532,9.91,7.371,1429,,,,30.62,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30246,,3556,33.333,,87,,,,,,57.07,2.84,,,87700,,,396,8382,,,,,,,,,,40722,11836,,,,,,,,,,,9663,,,58938,,,,,,,,,1769,1765,43411,,,,,,3,32,531,,518,1080,2063,,2889,1.18,4,,,,,,3459,,,,,,,,,,1,5,150,,,,419,,,689,2635,,2635,,3327,,,227,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86968,,,,,,,,
1992,陕西省,延安市,610000,610600,西部,东南侧,245100,,,,,,,,183.47,,31.49,,,,,14.5,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11941,,,66460,,,,,,,,,2852,,46490,,848,,,,,31,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619,,,,,,,226,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118921,,,,,,,,
1993,陕西省,延安市,610000,610600,西部,东南侧,,,,,,,,,185.25,,32.56,,,,,11.6,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556,33,,89,,,,,,,,,40000,159610,,,685,10231,,,,,,,,,,,,,,,,,,,,,,24889,,,79943,,54774,,,,,,,2783,,,,903,,,,2,38,526,,,,,,3071,1.6,4.8,,,,,,,,,,,,,,,,1,5,130,,,,380,,,717,238,,,,,,,692,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88719,,,,,,,,
1994,陕西省,延安市,610000,610600,西部,东南侧,426460,16442,32089,29472,3.855,7.525,6.911,,187.61,,34.05,,,,,9.7,,,,15,,,7.55,2.94,4.91,49,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56486,3258,3556,32,,90,,,,,,78.32,3.273,,50000,195600,,,,11547,,,,,,,,,,44888,5926,,,48027,53690,,,,,,,20138,,,103287,,56972,,,,,,,,,,,,,,,,31,519,,528,1432,2259,,3263,1.71,5.23,,,,,,,,,,,,,,,,1,,130,,,,,,,726,1240,,,,,,,292,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88058,,,,,,,,
1995,陕西省,延安市,610000,610600,西部,东南侧,502769,92509,285573,124687,18.4,56.8,24.8,,189.1,,35.28,,,,,6.7,,,,16,,,7.68,2.98,5.19,48,19,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69342,3623,3556,32,1,92,,,11,,,65.16,2.24,0.111,120000,259200,,,1105,,,,,,,,,,,61375,8921,3546,,59940,79349,,,,,,,17845,435,,121260,,,,,,,,,,,,,,,,,,32,529,,529,1521,2403,,3219,1.94,5.66,,,,,,,,,,,,,,,,1,,130,,,,,,,767,1128,,,,,,,304,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75678,,,,,,,,
1996,陕西省,延安市,610000,610600,西部,东南侧,622337,110776,359088,152473,17.8,57.7,24.5,,190.38,,36.23,,,,,5,,,,16,,,7.69,2.87,5.48,48,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78151,4087,3556,32,1,92,,,30.5,,,89.17,2.68,0.099,20000,303600,,,1193,,,,,,,,,,,55037,4769,2789,,62725,88105,,,,,,,20182,2100,,101600,,,,,,,,,,,,,,,,,,,,,551,1582,2440,,3407,2,6,,,,,,,,,,,,,,,,1,,164,,,,,,,968,1201,,,,,,,316,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115773,,,,,,,,
1997,陕西省,延安市,610000,610600,西部,东南侧,679634,192133,267980,219522,28.27,39.43,32.3,,191.64,,37.35,,,,,5.9,,,,85,,,53.98,9.86,21.08,64,12,25,54,4,3,0,2,,,,,1,0,,,,,,,,,0,2,5,1,1,5,0,4,19,95343,5034,36712,309,2,52,,,328.88,,,58.69,2.381,0.037,80000,289769,,,1303,,,,,,,,,,,466164,108122,36257,,241707,376798,,,,,,,200268,7902,,114856,,215555,,,,,,,,,,,,,,,2,185,5063,,571,5706,15964,,3831,9.1,34.76,,,,,,,,,,,,,,,,,14,305,16,,,,,,2793,594,28,566,,,,,575,64,511,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374644,,,,,,,,
1998,陕西省,延安市,610000,610600,西部,东南侧,768192,239676,303436,225080,31.2,39.5,29.3,,192.63,,38.67,,,,,4.6,,,,18,,,1.05,4.8,12.26,6,26,68,1,2,1,0,1,,,,,0,0,,,,,,,,,0,1,2,1,1,4,0,4,17,95243,5458,37030,308,2,52,,,9.9,,,97.68,2.224,0.043,115025,375057,,,1434,,,,,,,,,,,393987,64690,27063,,212142,443709,,,,,,,267992,3289,,171271,,268921,,4,10860,270,,,,,,,,,,,1,175,4938,,615,5949,12553,,4225,9.91,36.17,,,,,,,,,,,,,,,,,14,293,15,,,,226,4845,3318,731,30,700,,,,,673,133,540,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013410,,,,,,,,
1999,陕西省,延安市,610000,610600,西部,东南侧,812480,215307,347741,250244,26.5,42.8,30.8,,193.88,,39.78,,,,,4.3,,,,18,,9893,0.84,5.08,12.36,5,28,68,1,2,2,0,1,,,,,0,0,,,,,,,,,0,1,2,1,1,4,0,4,17,107045,6159,37037,284,2,52,,,8.77,,,70.24,2.939,0.029,121820,426889,,,1674,,122,,,,601070,601070,,,,542888,117354,49223,,228053,608310,,,,,,,368683,13327,,185762,,154611,,1,2000,,,,72200,,137300,,,,,,1,171,4827,,625,6133,13528,,4581,11,36,,,,,,,,,,,,,,,,,14,378,20,,,,,4983,3075,598,32,565,,,,,700,210,490,,,,262,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039164,,,,,,,,
2000,陕西省,延安市,610000,610600,西部,东南侧,978192,215202,494965,268025,22,50.6,27.4,,196.64,,40.98,,,,,4.7,,,,18,,8052,0.87,4.89,12.4,5,27,68,1,2,1,0,1,,,,,0,0,,,,,,,,,0,1,1,1,1,4,0,4,17,120636,6921,37037,256,2,53,,,9.2,,,66.6,1.61,0.01,121194,467899,46384,2269,1693,,122,,,,975642,975642,,,4,856517,248249,68287,,742394,301359,,,,,,,454486,12791,,195100,,272143,,3,2520,1700,,,88900,,164700,,,,,604700,1,180,4707,,568,6805,14189,,6020,12.75,36.16,,,,,,,,,,,,,,,,,14,382,20,,,367,224,5140,3216,665,35,629,,,,,835,258,577,,,,253,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079044,,,,,,,,
2001,陕西省,延安市,610000,610600,西部,东南侧,1062600,209332,569766,283502,19.7,53.62,26.68,5383,198.15,,42.52,197.39,,,,4.3,,,,18,,9122,0.78,4.83,12.31,4,27,69,1,3,1,0,1,,,,,1,0,,,,,,,,,0,1,1,0,1,4,0,4,17,156868,8979,37037,243,2,54,,,,,,56.44,2.46,0.011,139245,500659,48562,2108,1737,,109,,,,1219640,1219640,0,0,4,1004268,236892,74520,,356020,895015,,,,,,,533804,26644,,211726,,247368,14,2,651,220,,,125000,,209700,,,,,689500,1,191,4091,,568,7562,14531,,5685,14.29,33.9,,,,,,,,,,,,,,,,13,14,430,22,,,376,228,5079,3415,1368,36,1330,,21426,,,1123,253,870,,88,,246,6106,15756,19,18,12526,,,,,,,,,,,,,,,,,,,,,,,,,,,1959869,,,,,,,,
2002,陕西省,延安市,610000,610600,西部,东南侧,1187600,228375,651517,307707,19.23,54.86,25.91,5954,200.74,,45.97,,,,,4,,,,18,90236,10127,0.64,5.11,12.44,4,28,68,1,3,1,0,1,,,,,0,0,,,,,,,,,0,1,1,1,1,4,0,4,17,176444,10241,37037,249,2,54,,,10,,,62.8,2.23,0.024,228836,558505,57673,2622,1801,,104,,,,1318683,1318683,,,4,1172274,321366,90487,,400715,1127526,,,,,,,628468,54473,31226,234074,,305828,16,1,500,500,,,137600,,265800,,,,,834000,1,193,3639,,650,8510,15339,,6672,16.41,31.62,,,,,,,,,,,,,,,,13,14,410,20,,,410,213,5129,2660,1588,33,1553,,18045,,,1272,247,1025,,77,,269,7003,17951,23,27,23549,,,,,,,,,,,,,,,,,,,,100,100,,,,,,3888761,,,,,,,,
2003,陕西省,延安市,610000,610600,西部,东南侧,1427600,200007,879116,348477,14.01,61.58,24.41,7026,205.61,,50.44,,,,,4.4,,,,19,72165,10313,0.66,5.63,12.29,4,30,66,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,3,1,0,4,,,,,,,,,17,197435,11295,37037,532,4,56,,,13.9,,,56.8,1.8,0.016,269715,596284,55632,3764,1923,,97,96,0,1,1917635,1912612,0,5023,4,1716617,544771,143989,,474882,930053,,,,,,,1061225,64523,48961,250232,,396874,18,0,300,512,,,201198,,324718,713,55287,1274672,1760703,1036832,1,190,3184,,657,9375,15733,,7600,18,29,,,,,,,,,,,,,,,,13,14,422,21,,,399,213,5355,2797,1443,38,1404,,14887,,,1056,256,800,,69,,287,7746,20216,25,43,31867,,,,,,,419,237,71,4840,52835,6756,,,,,,,,50,100,60,,,,,,,,,,,,,
2004,陕西省,延安市,610000,610600,西部,东南侧,1917640,235103,1297283,385446,12.26,67.65,20.1,9255,208.79,,53,,,,,5.1,,,,19,84589,9674,0.65,5.71,12.5,3,30,66,1,3,1,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0,4,,,,,,,,,18,243427,13683,37037,501,4,56,,,16.8,,,73.2,2.02,0.028,376565,893474,56528,5490,2049,,90,89,,1,2922023,2916085,,5938,5,2655004,497273,219178,,674687,1705539,,,,,,,1499405,34524,29752,327047,,363404,18,,1004,66,,,289755,,439131,1302,65140,1529728,2213765,1218566,1,180,2754,,763,10046,14834,,9878,20,26,,,,,,,,,,,,,,,,13,14,430,21,,,403,213,5536,2767,1342,59,1280,,35879,,,1389,270,1119,,178,,150,8190,,27,63,22168,,,,,,,520,319,528,9338,25238,5504,,,,,,,,66,100,62,,,,,,,,,,,,,
2005,陕西省,延安市,610000,610600,西部,东南侧,3706160,294640,2851890,559630,7.95,76.95,15.1,17669,210.7,,54.44,,,,,4.9,,,,20,88836,9957,0.6,6.42,12.64,3,33,64,1,4,1,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0,5,,,,,,,,,19,298374,15863,37037,473,3,57,,,15.9,,,74.5,1.9,0.019,500989,1014649,62793,5491,2119,,92,91,,1,5372882,5363268,,9614,5,3932562,,314961,854478,916853,2550341,,,,,,,1601855,27386,18425,460942,,370831,17,2,43,43,,,450818,,563596,1793,87489,1774583,3109900,1563264,1,180,2400,,745,10709,14931,,13383,21.03,23.52,,,,,,,,,,,,,,,,13,14,431,20,,,397,211,6049,3441,1444,64,1376,,35928,,,1520,329,1191,,152,,149,8575,25180,29,83,26652,,,,,,,887,572,2299,12182,68872,6436,,,,,,,,67,80,91,,,,,,,,,,,,,
2006,陕西省,延安市,610000,610600,西部,东南侧,4531110,350255,3561906,618497,7.73,78.61,13.65,21380,215.08,,56.59,,,,,6.8,,,,20,82923,9957,0.62,6.94,12.71,3,34,63,1,5,1,0,1,1,0,1,0,1,0,0,0,0,0,4,1,0,4,,,,,,,,,19,355201,18404,37037,462,3,58,,,16.2,,,75.9,1.8,0.024,519766,1225550,60916,5850,2197,,94,92,,2,6788263,6773796,,14467,8,6693444,,504563,839594,1797762,3722203,,,,,,,2008570,54504,48934,514317,,475374,15,2,92,92,,,603682,,830930,1811,111453,2010300,3951483,1865668,1,183,2192,,760,11154,14594,,13867,21.39,22.36,,,,,,,,,,,,,,,,13,14,459,21,,,407,213,6467,2697,1697,77,1615,,48935,,,1643,307,1336,,195,,159,9802,27596,35,116,37363,,,,,,,807,674,421,12799,40667,6753,,,,,,,,32,80,82,,,,,,,,,,,,,
2007,陕西省,延安市,610000,610600,西部,东南侧,6100780,413023,4947123,740635,6.77,81.09,12.14,28675,219.55,,58.88,,,,,8.7,,,,21,105410,10701,0.64,7.81,12.98,3,36,61,1,6,1,0,1,1,0,1,0,1,0,0,0,0,0,4,1,0,5,,,,,,,,,21,479270,23142,37037,455,,59,,,14.6,,,50.46,1.48,0.042,551495,1433105,65061,6290,2439,,71,69,,2,7956396,7917729,,38667,8,7754843,,552602,803736,2451795,4334707,,,,,,,3153307,52201,50038,600444,,467132,17,2,3668,568,,,726947,,1010691,10032,169432,2198209,4420541,2002209,1,173,1614,,835,11504,14065,,15686,20.78,21.33,,,,,,,,,,,,,,,,13,14,532,24,,,363,211,6841,2854,1861,73,1785,,31358,,,1790,285,1505,,14,,161,10805,26982,36,150,53337,,,,,,,1080,1045,1330,13336,33357,7700,,,,,,,,45,81,81,,,,,,,,,,,,,
2008,陕西省,延安市,610000,610600,西部,东南侧,7132720,521402,5756105,855213,7.31,80.7,11.99,33332,223.31,,61.09,,,,,6.4,,,,22,136164,9329,0.61,8.8,12.9,3,39,58,1,6,1,0,1,1,0,1,0,1,0,0,0,0,,4,1,0,5,,,,,,,,,21,631786,29523,37037,,,60,,,15.7,,,70.86,1.7,0.041,611565,1724977,36114,6535,1810,,87,85,,2,9281600,9252400,,29200,8,9167296,,718321,951915,2978034,,,,,,,,4063477,103794,86967,749667,,539427,35,1,,272,,,800495,,1305249,13202,245063,2452316,5457523,2563766,1,160,1302,,928,11546,14018,,17501,19.52,20.02,97011,,,,,,,,,,,,,,,13,14,550,25,,,341,211,6804,5461,1997,17,1977,,32727,,,2032,274,1758,,41,,164,9988,26639,44,201,73552,,,,,,,1357,1353,841,12240,55762,3554,,,,,,,,42,82,87,,,,,,,,,,,,,
2009,陕西省,延安市,610000,610600,西部,东南侧,7282600,550565,5158994,1573042,7.56,70.84,21.6,33538,227.51,,,225.41,,,,11.2,,,,22,153543,9403,0.37,8,13.78,2,36,62,0,6,1,1,1,1,0,1,0,1,0,0,0,0,0,3,1,0,6,,,,,,,,,20,703602,34339,37037,,,61,,,12.2,,,77.1,2.3,0.048,710100,2069800,54400,6600,1978,,110,108,,2,9101151,9069631,,31520,9,,,649309,674140,,,,4394100,15745700,,,,5574794,81805,58711,946603,,613554,46,1,,366,,,904660,,1569339,15126,261448,3020516,6453612,3208059,2,152,591,,1259,11143,13510,,24891,18.03,18.94,66638,,,,29018,15396,109,,,,,,,,,13,10,550,24,,,424,207,7343,3084,5994,,5985,,86285,,,3733,,3733,,28,,149,12687,30562,38,206,122784,,,,,,,1075,1056,2997,12125,35790,6728,,,,,,,,85,82,94,,,,,,,,,,,,,
2010,陕西省,延安市,610000,610600,西部,东南侧,8854200,711878,6354659,1787663,8.04,71.77,20.19,40621,230.22,,,228.87,,,,14.2,,,,23,168786,9528,0.45,8.48,14.16,2,37,61,0,6,1,0,1,1,0,1,0,1,0,0,0,0,0,4,1,0,6,,,,,,,,,21,812000,38320,37037,,,62,,,13.6,,,82,2.3,0.048,881400,2333000,61900,7100,2595,24000,118,116,,2,11115000,11085500,,29500,10,,,1004300,1703000,,,,7633000,8683000,,,,7245259,81349,58711,1118144,,828376,75,1,,366,,,1051895,,1927054,16784,302859,3609700,7285400,3657300,2,139,386,,1213,10786,13537,,24078,16.71,18.1,66061,,,,28440,17900,105,,,,,,,,,13,10,550,24,,,463,210,8009,3223,6584,,6572,,120121,,,4172,,4172,,48,,140,11288,31502,48,213,507700,,,,,,,1390,1356,16994,11196,89273,7000,,,,,,,,87,82,88,,,,,,,,,,,,,
2011,陕西省,延安市,610000,610600,西部,东南侧,11133500,867300,8154175,2112025,7.79,73.24,18.97,50807,232.9,,,231.6,,,,9.1,,,,24,190801,9528,0.46,9,14.59,2,37,61,0,7,1,0,1,0,0,0,0,1,0,0,0,1,0,4,1,0,6,,,,,,,,,23,1001561,42674,37021,,,63,,,11,,,68.5,2.3,0.051,930100,2565500,68400,7600,2705,25900,97,95,,2,13334485,13286503,,47982,,,,1165455,1774323,,,,9045169,8683000,1667918,,,8152137,80722,42897,1297432,,1177831,77,5,,1558,,,1207258,,2238160,18488,409159,4105165,8267315,4236089,2,130,346,16,1328,10327,12990,968,24479,15.91,18,93902,,,,28874,18152,105,124,,,,,,,,13,2,649,28,,,3419,215,8421,3648,7801,168,7622,,110000,,,6789,1875,4914,,39,,135,12956,31800,38,250,204400,,,,,,,2029,,,17587,,,22308,92140,7453,,,,,,82,89,,87,,,,181832,756304,184812,,,,,
2012,陕西省,延安市,610000,610600,西部,东南侧,12710200,971059,9348352,2390789,7.64,73.55,18.81,57876,235.4,,,234.2,,,,4.2,,,,25,190801,9824,0.45,9.09,15.08,1,37,62,0,7,1,0,1,0,0,1,0,1,0,0,0,1,0,4,1,0,6,,,,,,,,,22,1104519,49441,37037,,,64,,,10.5,,,76.6,2.18,0.092,1000000,2711000,71000,7300,2908,26700,113,111,,2,15100935,15074420,,26515,,,,1437491,2211033,,,,10981879,14555788,1804375,,,8729218,203089,165550,1517367,,1319059,117,5,,2000,,,1392601,,2642413,21479,518799,4768722,9872104,5015431,2,129,325,16,1484,13012,14382,1159,29045,14.4,17.3,85685,,,,24545,20919,123,104,,,,,,,,13,2,672,29,,,3447,220,9543,3100,8210,226,7969,,150000,,,7496,1796,5700,,61,,135,14936,37100,38,280,230000,,,,,,,2648,,,17616,,,19732,114949,21324,,,,,,59,,62,80,,,,197891,1036000,183110,,,,,
2013,陕西省,延安市,610000,610600,西部,东南侧,13541350,1073829,9780917,2686604,7.93,72.23,19.84,56896,237.8,,,236.6,,,,4.2,,,,32,207110,9923,0.26,14.59,16.94,1,46,53,0,9,2,1,3,1,0,1,1,0,0,0,0,0,0,3,2,0,7,,,,,,,,,25,1389035,55517,37037,,,64,,,6.54,,,74.35,2.11,0.088,1060400,2540300,74200,7600,2928,27900,115,113,,2,14930619,14917478,,13141,,,,1140947,1503222,,,,10628774,18694220,1737461,,,11532948,184045,137829,1714572,,1528809,194,2,,802,,,1553848,,2946793,20289,570153,5668732,11044695,5718243,2,123,319,15,1548,10443,12034,988,26739,13.59,17.2,81516,,,,23030,22314,343,97,,,,,,,,14,2,1021,43,,,3541,223,10492,3350,8685,296,8371,,180000,,,8246,1864,6382,,,,136,15986,45882,34,267,260000,,,,,,,2357,,,16515,,,18557,115629,5850,,,,,,89,,79,89,,,,996484,320293,190100,,,,,
2014,陕西省,延安市,610000,610600,西部,东南侧,13860940,1136597,9688797,3035546,8.2,69.9,21.9,62714,234.3,,,236.1,,,,4,,,,35,250679,10024,0.27,16.01,18.55,1,46,53,0,8,3,1,4,1,0,1,1,0,0,0,0,1,0,4,2,0,7,,,,,,,,,28,1606019,57958,37037,,,63,,,6.2,,,78.68,2.27,0.09,1130000,2702100,76300,7400,3030,27800,109,107,,2,15334774,15324079,,10695,,,,1061724,955331,,,,9275937,23874483,1934695,,,13000000,266600,219100,1931804,,2249168,225,3,,,,,1681035,,3104128,23611,571936,6796428,12323141,6241885,2,121,307,15,1589,10216,11975,867,25786,13.12,17.55,79288,,,,22626,23475,110,96,,,,,,,,,2,1145,49,,,,221,11371,4269,3372,332,3020,,200000,,,7793,2006,5787,,,,135,15074,46188,33,268,280000,,,,,,,2114,,,16332,,,19724,101712,8364,,,,,,88,,87,90,,,,1093494,2229072,194878,,,,,
2015,陕西省,延安市,610000,610600,西部,东南侧,11986300,1108733,7427910,3449657,9.25,61.97,28.78,53924,235.5,,,234.92,,,,4.1,,,,34,295464,10310,0.26,14.46,18.9,1,43,56,0,8,3,1,3,1,0,1,1,0,0,0,0,1,0,4,2,0,7,,,,,,,,,27,1659755,61274,37031,,,64,,,1.7,,,72.21,2.14,0.08,1210400,2861900,76100,7400,3035,28700,140,137,2,1,13459190,13443362,8473,7355,,,,762989,-40060,,,,9862356,13951634,3175418,,,13941054,509824,424563,2410879,,2151331,256,1,,,,,1611673,,3156024,22408,533504,8308390,13609456,7012424,2,120,301,15,1613,9989,11504,756,24489,12.73,18.63,,,,,18893,,104,80,,,,,,,,,,957,41,,,,222,12252,4466,,,2987,,210000,,,,,6187,,181,,135,16351,289123,33,252,290000,,,,,,,2510,,,19314,,,23535,143846,11339,,,,,,93,,89,88,,,,231410,309386,198804,,,,,
